Day,RevealDate,DateLabel,Weekday,WeekArc,DailyThemeEN,DailyThemeAR,Pillar,PillarEN,PillarAR,PillarEmoji,PillarOrder,SlotTime,NudgeEN,NudgeAR,SourceRef,Status,SentDateTime,RunID
6,2026-08-10,10 Aug,Mon,W2 · I Appreciate You,Make It Specific,كن محدداً,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Try a no-spend moment: pause one small buy.,جرّب لحظة بلا إنفاق: أجّل عملية شراء صغيرة.,draft,Scheduled,,
6,2026-08-10,10 Aug,Mon,W2 · I Appreciate You,Make It Specific,كن محدداً,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Notice a tense muscle and let it soften.,لاحظ عضلة متوترة ودعها تسترخي.,draft,Scheduled,,
7,2026-08-11,11 Aug,Tue,W2 · I Appreciate You,Recognize the Effort,قدّر الجهد,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"Recognize the Effort - Appreciate someone’s effort, even if the work is still in progress.",قدّر الجهد - عبّر عن تقديرك لجهد شخص حتى لو كان العمل لا يزال مستمراً.,#83,Scheduled,,
7,2026-08-11,11 Aug,Tue,W2 · I Appreciate You,Recognize the Effort,قدّر الجهد,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Take a two-minute walk to reset your energy.,امشِ دقيقتين لتجديد طاقتك.,draft,Scheduled,,
7,2026-08-11,11 Aug,Tue,W2 · I Appreciate You,Recognize the Effort,قدّر الجهد,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Review one bill for anything unexpected.,راجع فاتورة واحدة بحثاً عن أي مبلغ غير متوقع.,draft,Scheduled,,
7,2026-08-11,11 Aug,Tue,W2 · I Appreciate You,Recognize the Effort,قدّر الجهد,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Take a mindful break away from screens.,خذ استراحة واعية بعيداً عن الشاشات.,draft,Scheduled,,
8,2026-08-12,12 Aug,Wed,W2 · I Appreciate You,Send It,أرسلها,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Send It - Message a colleague who made your work easier this week.,أرسلها - ابعث رسالة لزميل جعل عملك أسهل هذا الأسبوع.,#4,Scheduled,,
8,2026-08-12,12 Aug,Wed,W2 · I Appreciate You,Send It,أرسلها,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Loosen your neck with gentle side-to-side stretches.,أرخِ رقبتك بتمدد لطيف يميناً ويساراً.,draft,Scheduled,,
8,2026-08-12,12 Aug,Wed,W2 · I Appreciate You,Send It,أرسلها,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Plan tomorrow's spending before it happens.,خطّط لمصروف الغد قبل حدوثه.,draft,Scheduled,,
8,2026-08-12,12 Aug,Wed,W2 · I Appreciate You,Send It,أرسلها,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Speak to yourself as kindly as to a friend.,تحدّث إلى نفسك بلطف كما تخاطب صديقاً.,draft,Scheduled,,
9,2026-08-13,13 Aug,Thu,W2 · I Appreciate You,Pass It On,انقلها إليه,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"Pass It On - If you hear positive feedback about a colleague, make sure they receive it.",انقلها إليه - إذا سمعت إشادة بزميل، فتأكد من وصولها إليه.,#64,Scheduled,,
9,2026-08-13,13 Aug,Thu,W2 · I Appreciate You,Pass It On,انقلها إليه,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Refill your water bottle and keep it close.,أعد ملء زجاجة الماء واجعلها قريبة منك.,draft,Scheduled,,
9,2026-08-13,13 Aug,Thu,W2 · I Appreciate You,Pass It On,انقلها إليه,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Learn one new thing about budgeting today.,تعلّم شيئاً جديداً عن إدارة الميزانية اليوم.,draft,Scheduled,,
9,2026-08-13,13 Aug,Thu,W2 · I Appreciate You,Pass It On,انقلها إليه,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Write down what's on your mind to clear it.,اكتب ما يشغل بالك لتصفّي ذهنك.,draft,Scheduled,,
10,2026-08-14,14 Aug,Fri,W2 · I Appreciate You,Finish with Appreciation,اختم بالتقدير,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Finish with Appreciation - Tell one colleague what you valued about working with them this week.,اختم بالتقدير - أخبر زميلاً بما قدّرته في العمل معه هذا الأسبوع.,#46,Scheduled,,
10,2026-08-14,14 Aug,Fri,W2 · I Appreciate You,Finish with Appreciation,اختم بالتقدير,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Stand up during your next phone call or reading.,قِف أثناء مكالمتك أو قراءتك القادمة.,draft,Scheduled,,
10,2026-08-14,14 Aug,Fri,W2 · I Appreciate You,Finish with Appreciation,اختم بالتقدير,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Separate a want from a need before buying.,ميّز بين الرغبة والحاجة قبل الشراء.,draft,Scheduled,,
10,2026-08-14,14 Aug,Fri,W2 · I Appreciate You,Finish with Appreciation,اختم بالتقدير,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Let one small task be good enough today.,دع مهمة صغيرة تكون جيدة بما يكفي اليوم.,draft,Scheduled,,
11,2026-08-17,17 Aug,Mon,W3 · I Hear You,Two Minutes of Attention,دقيقتان من الاهتمام,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Two Minutes of Attention - Give one colleague your full attention without checking another screen or task.,دقيقتان من الاهتمام - امنح زميلاً كامل انتباهك دون الانشغال بشاشة أو مهمة أخرى.,#126,Scheduled,,
11,2026-08-17,17 Aug,Mon,W3 · I Hear You,Two Minutes of Attention,دقيقتان من الاهتمام,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,"Take three slow, deep breaths to steady your body.",خذ ثلاثة أنفاس عميقة بطيئة لتهدئة جسمك.,draft,Scheduled,,
11,2026-08-17,17 Aug,Mon,W3 · I Hear You,Two Minutes of Attention,دقيقتان من الاهتمام,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Track today's small spends for awareness.,تتبّع مصروفاتك الصغيرة اليوم لزيادة الوعي.,draft,Scheduled,,
11,2026-08-17,17 Aug,Mon,W3 · I Hear You,Two Minutes of Attention,دقيقتان من الاهتمام,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Focus on what's within your control right now.,ركّز على ما هو ضمن سيطرتك الآن.,draft,Scheduled,,
12,2026-08-18,18 Aug,Tue,W3 · I Hear You,Let Them Finish,دعه يكمل,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"Let Them Finish - In one conversation today, consciously avoid interrupting.",دعه يكمل - تجنّب المقاطعة بوعي في محادثة واحدة اليوم.,#128,Scheduled,,
12,2026-08-18,18 Aug,Tue,W3 · I Hear You,Let Them Finish,دعه يكمل,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Stretch your wrists and hands between tasks.,مدّد معصميك ويديك بين المهام.,draft,Scheduled,,
12,2026-08-18,18 Aug,Tue,W3 · I Hear You,Let Them Finish,دعه يكمل,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Set a simple reminder for an upcoming payment.,اضبط تذكيراً بسيطاً لدفعة قادمة.,draft,Scheduled,,
12,2026-08-18,18 Aug,Tue,W3 · I Hear You,Let Them Finish,دعه يكمل,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Take a breath before replying to that message.,خذ نفَساً قبل الرد على تلك الرسالة.,draft,Scheduled,,
13,2026-08-19,19 Aug,Wed,W3 · I Hear You,Ask One More Question,اسأل سؤالاً إضافياً,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Ask One More Question - Ask a genuine follow-up question to understand a colleague’s perspective.,اسأل سؤالاً إضافياً - اطرح سؤال متابعة حقيقياً لفهم وجهة نظر زميلك.,#143,Scheduled,,
13,2026-08-19,19 Aug,Wed,W3 · I Hear You,Ask One More Question,اسأل سؤالاً إضافياً,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Take a short movement break away from your screen.,خذ استراحة حركة قصيرة بعيداً عن الشاشة.,draft,Scheduled,,
13,2026-08-19,19 Aug,Wed,W3 · I Hear You,Ask One More Question,اسأل سؤالاً إضافياً,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Consider a smart swap that saves a little.,فكّر في بديل ذكي يوفّر القليل.,draft,Scheduled,,
13,2026-08-19,19 Aug,Wed,W3 · I Hear You,Ask One More Question,اسأل سؤالاً إضافياً,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Step to a window for a short mental reset.,اتّجه إلى نافذة لإعادة ضبط ذهنك قليلاً.,draft,Scheduled,,
14,2026-08-20,20 Aug,Thu,W3 · I Hear You,Listen Before Solving,استمع قبل أن تقترح حلاً,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"Listen Before Solving - Ask: “Would you like a suggestion, or would you prefer me to listen?”",استمع قبل أن تقترح حلاً - اسأل: «هل تود اقتراحاً أم تفضّل أن أستمع؟»,#139,Scheduled,,
14,2026-08-20,20 Aug,Thu,W3 · I Hear You,Listen Before Solving,استمع قبل أن تقترح حلاً,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Choose a healthy snack or fruit today.,اختر وجبة خفيفة صحية أو فاكهة اليوم.,draft,Scheduled,,
14,2026-08-20,20 Aug,Thu,W3 · I Hear You,Listen Before Solving,استمع قبل أن تقترح حلاً,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Read one saving tip from a trusted source.,اقرأ نصيحة واحدة عن الادخار من مصدر موثوق.,draft,Scheduled,,
14,2026-08-20,20 Aug,Thu,W3 · I Hear You,Listen Before Solving,استمع قبل أن تقترح حلاً,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Acknowledge one thing you did well today.,اعترف بأمر واحد أتقنته اليوم.,draft,Scheduled,,
15,2026-08-21,21 Aug,Fri,W3 · I Hear You,Check Your Understanding,تحقق من فهمك,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Check Your Understanding - End one important conversation with: “Have I understood you correctly?”,تحقق من فهمك - اختم محادثة مهمة بسؤال: «هل فهمتك بشكل صحيح؟»,#144,Scheduled,,
15,2026-08-21,21 Aug,Fri,W3 · I Hear You,Check Your Understanding,تحقق من فهمك,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Walk while you talk when you can.,امشِ أثناء حديثك عندما يمكنك ذلك.,draft,Scheduled,,
15,2026-08-21,21 Aug,Fri,W3 · I Hear You,Check Your Understanding,تحقق من فهمك,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Reflect on one money habit that helps you.,تأمّل عادة مالية واحدة تفيدك.,draft,Scheduled,,
15,2026-08-21,21 Aug,Fri,W3 · I Hear You,Check Your Understanding,تحقق من فهمك,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Protect a few minutes of quiet focus.,احمِ بضع دقائق من التركيز الهادئ.,draft,Scheduled,,
16,2026-08-24,24 Aug,Mon,W4 · I Support You,Offer Something Practical,قدّم دعماً عملياً,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Offer Something Practical - Ask one colleague: “Is there anything practical I can do to help today?”,قدّم دعماً عملياً - اسأل زميلاً: «هل هناك شيء عملي يمكنني مساعدتك فيه اليوم؟»,#53,Scheduled,,
16,2026-08-24,24 Aug,Mon,W4 · I Support You,Offer Something Practical,قدّم دعماً عملياً,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Give your eyes a screen break for one minute.,امنح عينيك استراحة من الشاشة لمدة دقيقة.,draft,Scheduled,,
16,2026-08-24,24 Aug,Mon,W4 · I Support You,Offer Something Practical,قدّم دعماً عملياً,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Plan a low-cost way to enjoy your week.,خطّط لطريقة ممتعة وقليلة التكلفة لأسبوعك.,draft,Scheduled,,
16,2026-08-24,24 Aug,Mon,W4 · I Support You,Offer Something Practical,قدّم دعماً عملياً,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Notice your feelings without judging them.,لاحظ مشاعرك دون أن تُصدر عليها أحكاماً.,draft,Scheduled,,
17,2026-08-25,25 Aug,Tue,W4 · I Support You,Check In Afterwards,تابع بعد الموقف,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"Check In Afterwards - Check in with someone after a demanding shift, meeting, or interaction.",تابع بعد الموقف - اطمئن على شخص بعد مناوبة أو اجتماع أو موقف صعب.,#212,Scheduled,,
17,2026-08-25,25 Aug,Tue,W4 · I Support You,Check In Afterwards,تابع بعد الموقف,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Stretch your back gently by reaching forward.,مدّد ظهرك بلطف بالانحناء إلى الأمام.,draft,Scheduled,,
17,2026-08-25,25 Aug,Tue,W4 · I Support You,Check In Afterwards,تابع بعد الموقف,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Check progress toward one savings goal.,تحقّق من تقدّمك نحو هدف ادخار واحد.,draft,Scheduled,,
17,2026-08-25,25 Aug,Tue,W4 · I Support You,Check In Afterwards,تابع بعد الموقف,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Let go of one worry you cannot control.,تخلَّ عن قلق واحد لا يمكنك التحكم فيه.,draft,Scheduled,,
18,2026-08-26,26 Aug,Wed,W4 · I Support You,Open the Circle,افتح الدائرة,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"Open the Circle - Invite a colleague to join a break, conversation, or team moment when appropriate.",افتح الدائرة - ادعُ زميلاً للانضمام إلى استراحة أو محادثة أو لحظة جماعية عندما يكون ذلك مناسباً.,#55,Scheduled,,
18,2026-08-26,26 Aug,Wed,W4 · I Support You,Open the Circle,افتح الدائرة,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Drink water before you feel thirsty in the heat.,اشرب الماء قبل أن تشعر بالعطش في الحر.,draft,Scheduled,,
18,2026-08-26,26 Aug,Wed,W4 · I Support You,Open the Circle,افتح الدائرة,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Avoid one impulse purchase today.,تجنّب عملية شراء اندفاعية واحدة اليوم.,draft,Scheduled,,
18,2026-08-26,26 Aug,Wed,W4 · I Support You,Open the Circle,افتح الدائرة,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Finish one task fully before starting another.,أنهِ مهمة واحدة تماماً قبل بدء أخرى.,draft,Scheduled,,
19,2026-08-27,27 Aug,Thu,W4 · I Support You,Make Space for a Voice,أفسح المجال لصوت آخر,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Make Space for a Voice - Notice whose perspective may be missing and invite it respectfully.,أفسح المجال لصوت آخر - لاحظ وجهة النظر الغائبة وادعُ صاحبها للمشاركة باحترام.,#224,Scheduled,,
19,2026-08-27,27 Aug,Thu,W4 · I Support You,Make Space for a Voice,أفسح المجال لصوت آخر,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Take a mindful pause to stand and breathe.,خذ وقفة واعية لتقف وتتنفس.,draft,Scheduled,,
19,2026-08-27,27 Aug,Thu,W4 · I Support You,Make Space for a Voice,أفسح المجال لصوت آخر,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Notice one thing you're glad you didn't overspend on.,دوّن أمراً تشعر بالامتنان لأنك لم تُفرط في الإنفاق عليه.,draft,Scheduled,,
19,2026-08-27,27 Aug,Thu,W4 · I Support You,Make Space for a Voice,أفسح المجال لصوت آخر,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Give yourself permission to pause and rest.,اسمح لنفسك بالتوقف والراحة.,draft,Scheduled,,
20,2026-08-28,28 Aug,Fri,W4 · I Support You,Make Someone’s Day Easier,اجعل يوم شخص أسهل,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Make Someone’s Day Easier - Take one practical action that reduces an avoidable burden for a colleague or another department.,اجعل يوم شخص أسهل - قم بخطوة عملية تقلل عبئاً يمكن تجنبه عن زميل أو قسم آخر.,#121,Scheduled,,
20,2026-08-28,28 Aug,Fri,W4 · I Support You,Make Someone’s Day Easier,اجعل يوم شخص أسهل,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Add one extra short walk to your day.,أضف نزهة قصيرة إضافية إلى يومك.,draft,Scheduled,,
20,2026-08-28,28 Aug,Fri,W4 · I Support You,Make Someone’s Day Easier,اجعل يوم شخص أسهل,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,"Review the week's spending calmly, without judgment.",راجع مصروفات الأسبوع بهدوء ودون إصدار أحكام.,draft,Scheduled,,
20,2026-08-28,28 Aug,Fri,W4 · I Support You,Make Someone’s Day Easier,اجعل يوم شخص أسهل,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Reflect on one moment that went well this week.,تأمّل لحظة واحدة سارت على ما يُرام هذا الأسبوع.,draft,Scheduled,,
21,2026-08-31,31 Aug,Mon,FINALE · We Are Connected,Make It Last,اجعلها عادة مستمرة,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Make It Last - Choose one August connection behavior to continue in September. Team photo challenge: show us what “One AHD” means to you.,اجعلها عادة مستمرة - اختر سلوكاً واحداً من سلوكيات التواصل في أغسطس لتستمر عليه في سبتمبر. تحدي صورة الفريق: شاركونا معنى «AHD واحد».,finale,Scheduled,,
21,2026-08-31,31 Aug,Mon,FINALE · We Are Connected,Make It Last,اجعلها عادة مستمرة,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Choose one movement habit to keep in September.,اختر عادة حركة واحدة لتستمر عليها في سبتمبر.,draft,Scheduled,,
21,2026-08-31,31 Aug,Mon,FINALE · We Are Connected,Make It Last,اجعلها عادة مستمرة,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Choose one money habit to keep in September.,اختر عادة مالية واحدة لتستمر عليها في سبتمبر.,draft,Scheduled,,
21,2026-08-31,31 Aug,Mon,FINALE · We Are Connected,Make It Last,اجعلها عادة مستمرة,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Choose one calm habit to keep in September.,اختر عادة هدوء واحدة لتستمر عليها في سبتمبر.,draft,Scheduled,,
