Day,RevealDate,DateLabel,Weekday,WeekArc,DailyThemeEN,DailyThemeAR,SocialEN,SocialAR,SocialSource,PhysicalEN,PhysicalAR,PhysicalSource,FinancialEN,FinancialAR,FinancialSource,MentalEN,MentalAR,MentalSource,Status,SentDateTime,RunID
11,2026-08-17,17 Aug,Mon,W3 · I Hear You,Two Minutes of Attention,دقيقتان من الاهتمام,Two Minutes of Attention - Give one colleague your full attention without checking another screen or task.,دقيقتان من الاهتمام - امنح زميلاً كامل انتباهك دون الانشغال بشاشة أو مهمة أخرى.,#126,"Take three slow, deep breaths to steady your body.",خذ ثلاثة أنفاس عميقة بطيئة لتهدئة جسمك.,draft,Track today's small spends for awareness.,تتبّع مصروفاتك الصغيرة اليوم لزيادة الوعي.,draft,Focus on what's within your control right now.,ركّز على ما هو ضمن سيطرتك الآن.,draft,Scheduled,,
12,2026-08-18,18 Aug,Tue,W3 · I Hear You,Let Them Finish,دعه يكمل,"Let Them Finish - In one conversation today, consciously avoid interrupting.",دعه يكمل - تجنّب المقاطعة بوعي في محادثة واحدة اليوم.,#128,Stretch your wrists and hands between tasks.,مدّد معصميك ويديك بين المهام.,draft,Set a simple reminder for an upcoming payment.,اضبط تذكيراً بسيطاً لدفعة قادمة.,draft,Take a breath before replying to that message.,خذ نفَساً قبل الرد على تلك الرسالة.,draft,Scheduled,,
13,2026-08-19,19 Aug,Wed,W3 · I Hear You,Ask One More Question,اسأل سؤالاً إضافياً,Ask One More Question - Ask a genuine follow-up question to understand a colleague’s perspective.,اسأل سؤالاً إضافياً - اطرح سؤال متابعة حقيقياً لفهم وجهة نظر زميلك.,#143,Take a short movement break away from your screen.,خذ استراحة حركة قصيرة بعيداً عن الشاشة.,draft,Consider a smart swap that saves a little.,فكّر في بديل ذكي يوفّر القليل.,draft,Step to a window for a short mental reset.,اتّجه إلى نافذة لإعادة ضبط ذهنك قليلاً.,draft,Scheduled,,
14,2026-08-20,20 Aug,Thu,W3 · I Hear You,Listen Before Solving,استمع قبل أن تقترح حلاً,"Listen Before Solving - Ask: “Would you like a suggestion, or would you prefer me to listen?”",استمع قبل أن تقترح حلاً - اسأل: «هل تود اقتراحاً أم تفضّل أن أستمع؟»,#139,Choose a healthy snack or fruit today.,اختر وجبة خفيفة صحية أو فاكهة اليوم.,draft,Read one saving tip from a trusted source.,اقرأ نصيحة واحدة عن الادخار من مصدر موثوق.,draft,Acknowledge one thing you did well today.,اعترف بأمر واحد أتقنته اليوم.,draft,Scheduled,,
15,2026-08-21,21 Aug,Fri,W3 · I Hear You,Check Your Understanding,تحقق من فهمك,Check Your Understanding - End one important conversation with: “Have I understood you correctly?”,تحقق من فهمك - اختم محادثة مهمة بسؤال: «هل فهمتك بشكل صحيح؟»,#144,Walk while you talk when you can.,امشِ أثناء حديثك عندما يمكنك ذلك.,draft,Reflect on one money habit that helps you.,تأمّل عادة مالية واحدة تفيدك.,draft,Protect a few minutes of quiet focus.,احمِ بضع دقائق من التركيز الهادئ.,draft,Scheduled,,
16,2026-08-24,24 Aug,Mon,W4 · I Support You,Offer Something Practical,قدّم دعماً عملياً,Offer Something Practical - Ask one colleague: “Is there anything practical I can do to help today?”,قدّم دعماً عملياً - اسأل زميلاً: «هل هناك شيء عملي يمكنني مساعدتك فيه اليوم؟»,#53,Give your eyes a screen break for one minute.,امنح عينيك استراحة من الشاشة لمدة دقيقة.,draft,Plan a low-cost way to enjoy your week.,خطّط لطريقة ممتعة وقليلة التكلفة لأسبوعك.,draft,Notice your feelings without judging them.,لاحظ مشاعرك دون أن تُصدر عليها أحكاماً.,draft,Scheduled,,
17,2026-08-25,25 Aug,Tue,W4 · I Support You,Check In Afterwards,تابع بعد الموقف,"Check In Afterwards - Check in with someone after a demanding shift, meeting, or interaction.",تابع بعد الموقف - اطمئن على شخص بعد مناوبة أو اجتماع أو موقف صعب.,#212,Stretch your back gently by reaching forward.,مدّد ظهرك بلطف بالانحناء إلى الأمام.,draft,Check progress toward one savings goal.,تحقّق من تقدّمك نحو هدف ادخار واحد.,draft,Let go of one worry you cannot control.,تخلَّ عن قلق واحد لا يمكنك التحكم فيه.,draft,Scheduled,,
18,2026-08-26,26 Aug,Wed,W4 · I Support You,Open the Circle,افتح الدائرة,"Open the Circle - Invite a colleague to join a break, conversation, or team moment when appropriate.",افتح الدائرة - ادعُ زميلاً للانضمام إلى استراحة أو محادثة أو لحظة جماعية عندما يكون ذلك مناسباً.,#55,Drink water before you feel thirsty in the heat.,اشرب الماء قبل أن تشعر بالعطش في الحر.,draft,Avoid one impulse purchase today.,تجنّب عملية شراء اندفاعية واحدة اليوم.,draft,Finish one task fully before starting another.,أنهِ مهمة واحدة تماماً قبل بدء أخرى.,draft,Scheduled,,
19,2026-08-27,27 Aug,Thu,W4 · I Support You,Make Space for a Voice,أفسح المجال لصوت آخر,Make Space for a Voice - Notice whose perspective may be missing and invite it respectfully.,أفسح المجال لصوت آخر - لاحظ وجهة النظر الغائبة وادعُ صاحبها للمشاركة باحترام.,#224,Take a mindful pause to stand and breathe.,خذ وقفة واعية لتقف وتتنفس.,draft,Notice one thing you're glad you didn't overspend on.,دوّن أمراً تشعر بالامتنان لأنك لم تُفرط في الإنفاق عليه.,draft,Give yourself permission to pause and rest.,اسمح لنفسك بالتوقف والراحة.,draft,Scheduled,,
20,2026-08-28,28 Aug,Fri,W4 · I Support You,Make Someone’s Day Easier,اجعل يوم شخص أسهل,Make Someone’s Day Easier - Take one practical action that reduces an avoidable burden for a colleague or another department.,اجعل يوم شخص أسهل - قم بخطوة عملية تقلل عبئاً يمكن تجنبه عن زميل أو قسم آخر.,#121,Add one extra short walk to your day.,أضف نزهة قصيرة إضافية إلى يومك.,draft,"Review the week's spending calmly, without judgment.",راجع مصروفات الأسبوع بهدوء ودون إصدار أحكام.,draft,Reflect on one moment that went well this week.,تأمّل لحظة واحدة سارت على ما يُرام هذا الأسبوع.,draft,Scheduled,,
21,2026-08-31,31 Aug,Mon,FINALE · We Are Connected,Make It Last,اجعلها عادة مستمرة,Make It Last - Choose one August connection behavior to continue in September. Team photo challenge: show us what “One AHD” means to you.,اجعلها عادة مستمرة - اختر سلوكاً واحداً من سلوكيات التواصل في أغسطس لتستمر عليه في سبتمبر. تحدي صورة الفريق: شاركونا معنى «AHD واحد».,finale,Choose one movement habit to keep in September.,اختر عادة حركة واحدة لتستمر عليها في سبتمبر.,draft,Choose one money habit to keep in September.,اختر عادة مالية واحدة لتستمر عليها في سبتمبر.,draft,Choose one calm habit to keep in September.,اختر عادة هدوء واحدة لتستمر عليها في سبتمبر.,draft,Scheduled,,
