NudgeID,NudgeText,Status,SentDateTime,RunID
121,"Think of a colleague you appreciate, and tell them.",Pending,,
122,Notice something in your day that's going right.,Pending,,
123,Be kind to yourself about something that felt hard.,Pending,,
124,Recall why your work matters to someone.,Pending,,
125,Give yourself credit for showing up today.,Pending,,
126,Reach out to a colleague you haven't spoken to in a while.,Pending,,
127,Offer help to someone if you have a moment.,Pending,,
128,Check in on how a teammate is doing.,Pending,,
129,Share a small win with your team.,Pending,,
130,Say thank you to someone today.,Pending,,
131,Take a moment to really listen in your next conversation.,Pending,,
132,Send an encouraging message to a colleague.,Pending,,
133,"Make time for a short, friendly chat.",Pending,,
134,"Ask a colleague how their day is going, and mean it.",Pending,,
135,Give someone your full attention when they speak.,Pending,,
136,It's okay to say you need more time.,Pending,,
137,Block out time on your calendar for focused work.,Pending,,
138,"Give yourself a realistic deadline, not a punishing one.",Pending,,
139,Notice if you're taking on too much right now.,Pending,,
140,It's okay to ask for help with your workload.,Pending,,
141,Protect your lunch break today.,Pending,,
142,Decide what can wait until tomorrow.,Pending,,
143,Say no to one thing that isn't essential.,Pending,,
144,Set a clear end time for your workday.,Pending,,
145,Let go of a task that isn't truly yours to carry.,Pending,,
146,Ask for clarity if a task feels overwhelming.,Pending,,
147,Delegate or defer one thing on your list.,Pending,,
148,Remind yourself that rest is part of good work.,Pending,,
149,Give yourself permission to leave on time today.,Pending,,
150,Notice the difference between urgent and important.,Pending,,
151,Feeling tense? Drop your shoulders and breathe out slowly.,Pending,,
152,Pause and check in with how your body feels.,Pending,,
153,"If your mind is racing, name what you're feeling.",Pending,,
154,Take a moment to reset before the afternoon.,Pending,,
155,Notice any tension and let it soften.,Pending,,
156,Give your mind a short rest between tasks.,Pending,,
157,Step back and take three calming breaths.,Pending,,
158,"Loosen your grip, literally and figuratively.",Pending,,
159,Let this be a moment of calm in a busy day.,Pending,,
160,Acknowledge how far you've come today already.,Pending,,
161,Refresh yourself with a short pause and a stretch.,Pending,,
162,"Reset your focus with one slow, deep breath.",Pending,,
163,Give yourself a mental pause before continuing.,Pending,,
164,Notice one thing that's within your control right now.,Pending,,
165,Take the pressure off; do the next small step.,Pending,,
166,Shake off the morning and start the afternoon fresh.,Pending,,
167,Have a mindful sip of water and carry on.,Pending,,
168,Let your shoulders relax down away from your ears.,Pending,,
169,Pause and breathe before replying to that message.,Pending,,
170,Give yourself a moment of quiet before the next thing.,Pending,,
171,Speak to yourself as you would to a good friend.,Pending,,
172,You're doing better than you think.,Pending,,
173,Progress matters more than perfection.,Pending,,
174,It's okay to have an off moment; be gentle with yourself.,Pending,,
175,You don't have to earn your rest.,Pending,,
176,One task at a time is enough.,Pending,,
177,"Mistakes are part of learning, not proof of failure.",Pending,,
178,Give yourself grace for what's outside your control.,Pending,,
179,You are allowed to take up space and time.,Pending,,
180,Your worth isn't measured by your to-do list.,Pending,,
181,Let today be good enough.,Pending,,
182,Trust that you'll handle what comes.,Pending,,
183,Be patient with yourself as you work through this.,Pending,,
184,You've handled hard days before; you can handle this one.,Pending,,
185,Small steps still move you forward.,Pending,,
186,Tidy one small corner of your workspace.,Pending,,
187,Adjust your chair so you're sitting comfortably.,Pending,,
188,Let some natural light into your space if you can.,Pending,,
189,Clear one distraction from your desk.,Pending,,
190,Make your workspace a little more pleasant right now.,Pending,,
191,Check that your screen is at a comfortable height.,Pending,,
192,Warm up or cool down your space if you're able.,Pending,,
193,Add one thing to your desk that makes you smile.,Pending,,
194,Reduce background noise for the next focused stretch.,Pending,,
195,Give your hands a rest from the keyboard for a moment.,Pending,,
196,Feeling the afternoon dip? Stand up and stretch.,Pending,,
197,Recharge with a short walk if you can.,Pending,,
198,Have a glass of water to shake off the slump.,Pending,,
199,Take a brief break to reset your energy.,Pending,,
200,Step away for a few minutes to refresh your mind.,Pending,,
201,Give yourself a small reward for the afternoon's effort.,Pending,,
202,Move your body to wake up your focus.,Pending,,
203,Take a breather before the next push.,Pending,,
204,A short pause now beats pushing through tired.,Pending,,
205,"Refocus on just the next task, not the whole list.",Pending,,
206,Note one thing you learned today.,Pending,,
207,Reflect on what went smoothly this morning.,Pending,,
208,Ask yourself what would make the rest of the day easier.,Pending,,
209,Notice what's draining you and what's energizing you.,Pending,,
210,Consider one small change that would help tomorrow.,Pending,,
211,"Acknowledge an effort you made, even if unfinished.",Pending,,
212,Think about what's working well right now.,Pending,,
213,Give yourself a moment to zoom out from the details.,Pending,,
214,Notice a habit that's serving you today.,Pending,,
215,Reflect on a moment you felt proud recently.,Pending,,
216,Take a break from notifications for a while.,Pending,,
217,Put your phone on silent for the next hour.,Pending,,
218,Close apps you're not actively using.,Pending,,
219,Give yourself a screen-free few minutes.,Pending,,
220,Turn off badges that keep pulling your attention.,Pending,,
221,Resist the urge to check your phone right now.,Pending,,
222,Batch your messages instead of replying instantly.,Pending,,
223,Let some notifications wait until you're ready.,Pending,,
224,Step away from the screen and rest your mind.,Pending,,
225,Choose one app-free break this afternoon.,Pending,,
226,You've got this. Take it one step at a time.,Pending,,
227,Keep going gently; you're making progress.,Pending,,
228,A calm mind works better than a rushed one.,Pending,,
229,Be proud of what you've done so far today.,Pending,,
230,Slow and steady still gets there.,Pending,,
231,"Your effort today counts, even the quiet parts.",Pending,,
232,Take a breath; you're doing fine.,Pending,,
233,Every small break helps you do better work.,Pending,,
234,Look after yourself as well as your tasks.,Pending,,
235,You matter more than any deadline.,Pending,,
236,Start wrapping up gently rather than abruptly.,Pending,,
237,Note where you'll pick up tomorrow.,Pending,,
238,Acknowledge what you accomplished today.,Pending,,
239,Tidy your desk before you finish for the day.,Pending,,
240,Let go of the unfinished; tomorrow is another chance.,Pending,,
241,Take a breath and release the day's tension.,Pending,,
242,Write tomorrow's top task so you can switch off tonight.,Pending,,
243,Thank yourself for the effort you gave today.,Pending,,
244,Close your laptop mindfully at the end of the day.,Pending,,
245,Leave one kind note for tomorrow-you.,Pending,,
246,Reflect on one good moment from your day.,Pending,,
247,Set a gentle boundary between work and evening.,Pending,,
248,Take three slow breaths to close the day.,Pending,,
249,Let yourself fully log off when the day is done.,Pending,,
250,End your workday gently instead of abruptly.,Pending,,
